path,condition,folder,year,n_czi_files,acquired_by,cell_type,sex
../data/raw_data/aged_treated_RhoAi/202011218expSlide12A2+RiTazCy3,aged_treated_RhoAi,202011218expSlide12A2+RiTazCy3,2020,10,Microscopist 1,HSC,unknown
../data/raw_data/aged_treated_RhoAi/20201218expAg1+RiJag2AF488,aged_treated_RhoAi,20201218expAg1+RiJag2AF488,2020,5,Microscopist 1,HSC,unknown
../data/raw_data/aged_treated_RhoAi/20201218expAg1+RiRhoAAF488,aged_treated_RhoAi,20201218expAg1+RiRhoAAF488,2020,4,Microscopist 1,HSC,unknown
../data/raw_data/aged_treated_RhoAi/20201218expAg1+RiRhoAAF488_2,aged_treated_RhoAi,20201218expAg1+RiRhoAAF488_2,2020,7,Microscopist 1,HSC,unknown
../data/raw_data/aged_treated_RhoAi/20201218expAg2+Ri RhoAAF488,aged_treated_RhoAi,20201218expAg2+Ri RhoAAF488,2020,6,Microscopist 1,HSC,unknown
../data/raw_data/aged_treated_RhoAi/20201218expAg2+Ri RhoAAF488_2,aged_treated_RhoAi,20201218expAg2+Ri RhoAAF488_2,2020,6,Microscopist 1,HSC,unknown
../data/raw_data/aged_treated_RhoAi/20201218expSlide9A1+RiTazCy3,aged_treated_RhoAi,20201218expSlide9A1+RiTazCy3,2020,12,Microscopist 1,HSC,unknown
../data/raw_data/aged_treated_RhoAi/20210712expAgRiPhalloidinAF48820210928,aged_treated_RhoAi,20210712expAgRiPhalloidinAF48820210928,2021,10,Microscopist 1,HSC,unknown
../data/raw_data/aged_treated_RhoAi/20211108expAgedRiLTHSCCdk8AF488,aged_treated_RhoAi,20211108expAgedRiLTHSCCdk8AF488,2021,7,Microscopist 1,HSC,unknown
../data/raw_data/aged_treated_RhoAi/20220420_20220419exp_AgRiRhoAGTPCy3H4K16ac,aged_treated_RhoAi,20220420_20220419exp_AgRiRhoAGTPCy3H4K16ac,2022,8,Microscopist 1,HSC,unknown
../data/raw_data/aged_treated_RhoAi/20220502_20220419exp_AgRiRhoAGTPCy3H4K16ac,aged_treated_RhoAi,20220502_20220419exp_AgRiRhoAGTPCy3H4K16ac,2022,4,Microscopist 1,HSC,unknown
../data/raw_data/aged_treated_RhoAi/20220711exp_20220725_AgRiRhoGTPH4K16ac,aged_treated_RhoAi,20220711exp_20220725_AgRiRhoGTPH4K16ac,2022,9,Microscopist 1,HSC,unknown
../data/raw_data/aged_treated_RhoAi/20230119exp_20230127_AgRiRhoA647PPL2A,aged_treated_RhoAi,20230119exp_20230127_AgRiRhoA647PPL2A,2023,12,Microscopist 1,HSC,unknown
../data/raw_data/aged_treated_RhoAi/20230208exp_20230315agRi_KLF4cy3,aged_treated_RhoAi,20230208exp_20230315agRi_KLF4cy3,2023,6,Microscopist 1,HSC,unknown
../data/raw_data/aged_treated_RhoAi/20230208exp_20230321agRi_KLF4cy3,aged_treated_RhoAi,20230208exp_20230321agRi_KLF4cy3,2023,8,Microscopist 1,HSC,unknown
../data/raw_data/aged_treated_RhoAi/20230208exp_20230322agRi_KLF4cy3,aged_treated_RhoAi,20230208exp_20230322agRi_KLF4cy3,2023,3,Microscopist 1,HSC,unknown
../data/raw_data/aged_treated_RhoAi/20230413exp_20230426AgRiKlf4Cy3H3K9me2AF488,aged_treated_RhoAi,20230413exp_20230426AgRiKlf4Cy3H3K9me2AF488,2023,8,Microscopist 1,HSC,unknown
../data/raw_data/aged_treated_RhoAi/20230413exp_20230426AgRiLINE1Cy3,aged_treated_RhoAi,20230413exp_20230426AgRiLINE1Cy3,2023,2,Microscopist 1,HSC,unknown
../data/raw_data/aged_treated_RhoAi/20230413exp_20230427AgRiLINE1Cy3,aged_treated_RhoAi,20230413exp_20230427AgRiLINE1Cy3,2023,12,Microscopist 1,HSC,unknown
../data/raw_data/aged_treated_RhoAi/20230413exp_20230505AgRiLINE1Cy3,aged_treated_RhoAi,20230413exp_20230505AgRiLINE1Cy3,2023,4,Microscopist 1,HSC,unknown
../data/raw_data/aged_treated_RhoAi/20201119expAg+RiH3K9AF488,aged_treated_RhoAi,20201119expAg+RiH3K9AF488,2020,10,Microscopist 1,HSC,unknown
../data/raw_data/aged_treated_RhoAi/20201218expAg1+Ri H3K9me2AF488,aged_treated_RhoAi,20201218expAg1+Ri H3K9me2AF488,2020,5,Microscopist 1,HSC,unknown
